H2Hs,Opponent,W,L,Win%,TB,TBW,TBL,TB%,First Match,Last Match,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
1,Skander Mansouri [TUN],1,0,100.0%,0,0,0,,22‑Oct‑2018,22‑Oct‑2018,0,,,,,,,,,,
1,Constant Lestienne [FRA],0,1,0.0%,1,1,0,100.0%,8‑Oct‑2018,8‑Oct‑2018,1,0.60,9.3%,3.1%,58.9%,72.4%,56.6%,65.9%,20.6%,77.8%,
1,Luca Giacomini [ITA],1,0,100.0%,1,1,0,100.0%,8‑Oct‑2018,8‑Oct‑2018,1,1.95,15.1%,1.9%,66.0%,88.6%,55.6%,77.4%,44.2%,50.0%,60.0%
1,Oscar Jose Gutierrez [BRA],0,1,0.0%,1,0,1,0.0%,17‑Sep‑2018,17‑Sep‑2018,1,0.99,2.7%,5.3%,59.3%,62.7%,39.1%,53.1%,46.4%,61.1%,38.9%
1,Samuel Bensoussan [FRA],0,1,0.0%,1,0,1,0.0%,10‑Sep‑2018,10‑Sep‑2018,0,,,,,,,,,,
1,Demian Raab [GER],1,0,100.0%,0,0,0,,10‑Sep‑2018,10‑Sep‑2018,0,,,,,,,,,,
1,Juan Pablo Varillas [PER],0,1,0.0%,0,0,0,,3‑Sep‑2018,3‑Sep‑2018,1,0.68,1.9%,7.7%,46.2%,41.7%,35.7%,38.5%,41.5%,33.3%,28.6%
1,Andrej Martin [SVK],0,1,0.0%,0,0,0,,27‑Aug‑2018,27‑Aug‑2018,1,0.62,0.0%,6.6%,52.5%,53.1%,41.4%,47.5%,32.5%,33.3%,100.0%
1,Alessandro Petrone [ITA],0,1,0.0%,0,0,0,,20‑Aug‑2018,20‑Aug‑2018,0,,,,,,,,,,
1,Andrea Gola [ITA],1,0,100.0%,0,0,0,,20‑Aug‑2018,20‑Aug‑2018,0,,,,,,,,,,
1,Peter Heller [GER],0,1,0.0%,0,0,0,,13‑Aug‑2018,13‑Aug‑2018,0,,,,,,,,,,
1,Alessandro Ceppellini [ITA],1,0,100.0%,1,0,1,0.0%,13‑Aug‑2018,13‑Aug‑2018,0,,,,,,,,,,
1,Joy Vigani [ITA],1,0,100.0%,1,1,0,100.0%,13‑Aug‑2018,13‑Aug‑2018,0,,,,,,,,,,
1,Lorenzo Frigerio [ITA],1,0,100.0%,0,0,0,,13‑Aug‑2018,13‑Aug‑2018,0,,,,,,,,,,
1,Gianluca Acquaroli [ITA],1,0,100.0%,0,0,0,,13‑Aug‑2018,13‑Aug‑2018,0,,,,,,,,,,
