Surface,Outcome_raw,Outcome,DR,A%,DF%,1stIn,1st%,2nd%,DR,TPW,RPW,vA%,v1st%,v2nd%
Hard,Sebastian Korda [USA] d. (6)Sinner,L,0.64,15.1%,5.7%,64.2%,67.6%,31.6%,0.64,41.9%,28.8%,9.6%,16.7%,45.5%
Hard,(6)Sinner d. (WC)Thanasi Kokkinakis [AUS],W,1.08,6.4%,2.6%,74.4%,69.0%,60.0%,1.08,52.0%,36.1%,12.5%,26.7%,51.9%
Hard,(6)Sinner d. (PR)Kyle Edmund [GBR],W,3.76,12.2%,2.4%,61.0%,92.0%,81.3%,3.76,65.2%,45.8%,2.1%,28.6%,59.3%
Hard,(Q)Marc Andrea Huesler [SUI] d. (11)Sinner,L,0.57,4.0%,8.0%,42.0%,66.7%,44.8%,0.57,40.6%,26.1%,13.0%,24.1%,29.4%
Hard,(1)Daniil Medvedev [RUS] d. (6)Sinner,L,0.61,6.5%,0.0%,53.2%,63.6%,48.3%,0.61,43.2%,26.5%,14.3%,18.9%,50.0%
Hard,(6)Sinner d. Francisco Cerundolo [ARG],W,1.23,3.1%,0.0%,64.6%,64.3%,60.9%,1.23,55.1%,45.3%,5.7%,28.1%,71.4%
Hard,(6)Sinner d. Cristian Garin [CHI],W,2.77,20.9%,2.3%,60.5%,92.3%,70.6%,2.77,62.8%,45.1%,5.9%,42.4%,50.0%
Hard,(5)Holger Rune [DEN] d. (1)Sinner,L,1.07,13.8%,1.3%,67.5%,72.2%,53.8%,1.07,49.5%,36.3%,6.9%,24.2%,58.3%
Hard,(1)Sinner d. Aleksandar Vukic [AUS],W,1.80,15.0%,8.3%,50.0%,83.3%,56.7%,1.80,62.7%,54.0%,4.0%,52.0%,56.0%
Hard,(1)Sinner d. Nuno Borges [POR],W,1.23,16.4%,8.2%,59.0%,88.9%,44.0%,1.23,53.8%,36.2%,5.2%,37.5%,33.3%
Hard,Mikael Ymer [SWE] d. Sinner,L,,,,,,,,,,,,
Hard,Sinner d. Francisco Cerundolo [ARG],W,,,,,,,,,,,,
Hard,(3)Carlos Alcaraz [ESP] d. (11)Sinner,L,0.86,3.8%,5.2%,54.9%,64.1%,44.8%,0.86,47.9%,38.5%,3.0%,37.3%,40.7%
Hard,(11)Sinner d. Ilya Ivashka [BLR],W,1.24,3.7%,10.4%,46.3%,72.6%,48.6%,1.24,54.3%,50.0%,3.0%,39.2%,67.2%
Hard,(11)Sinner d. Brandon Nakashima [USA],W,1.27,13.8%,3.4%,60.3%,74.3%,50.0%,1.27,54.7%,44.9%,2.5%,37.7%,55.1%
Hard,(11)Sinner d. Christopher Eubanks [USA],W,1.64,13.6%,4.5%,54.5%,85.4%,62.5%,1.64,56.4%,41.1%,11.2%,32.4%,60.6%
Hard,(11)Sinner d. Daniel Altmaier [GER],W,1.60,13.2%,4.1%,57.0%,75.4%,67.3%,1.60,58.1%,44.9%,4.7%,38.0%,56.3%
Hard,(7)Felix Auger Aliassime [CAN] d. (10)Sinner,L,0.87,4.3%,4.3%,55.9%,63.5%,56.1%,0.87,47.6%,34.8%,15.2%,20.7%,58.8%
Hard,(10)Sinner d. Miomir Kecmanovic [SRB],W,1.67,12.5%,5.0%,55.0%,95.5%,44.4%,1.67,56.3%,46.0%,3.2%,46.2%,45.8%
Hard,(10)Sinner d. (Q)Thanasi Kokkinakis [AUS],W,1.15,5.4%,2.7%,53.6%,76.7%,63.5%,1.15,51.3%,33.9%,10.5%,25.7%,44.4%
